,ID,DateTime,UserID,UserAction
3,493570,2020-02-08 13:53:09.523,5,Login
6,493573,2020-02-08 13:53:12.477,5,Open FAQ Page
8,493576,2020-02-08 13:53:14.930,5,Login
10,493578,2020-02-08 13:53:25.463,5,Login
14,493582,2020-02-08 13:53:26.993,5,Open Application Page
15,493583,2020-02-08 13:53:28.103,5,Open Application Page
16,493585,2020-02-08 13:53:33.243,5,Open ApplcationMenuCategory
17,493586,2020-02-08 13:53:49.790,5,Update MenuCategory
18,493587,2020-02-08 13:53:54.773,5,Update MenuCategory
19,493588,2020-02-08 13:54:02.900,5,Update MenuCategory
20,493589,2020-02-08 13:54:14.430,5,Update MenuCategory
21,493590,2020-02-08 13:54:27.557,5,Create MenuCategory
22,493592,2020-02-08 13:54:46.697,5,Create MenuCategory
23,493593,2020-02-08 13:54:54.057,5,Create MenuCategory
26,493596,2020-02-08 13:54:56.230,5,Open Article Page
27,493598,2020-02-08 13:55:02.573,5,Select Menu Item Type
28,493601,2020-02-08 13:55:04.620,5,Open FAQ Page
30,493603,2020-02-08 13:55:54.353,5,Add FAQ to MenuItem
31,493604,2020-02-08 13:55:54.353,5,Select Menu Item Type
33,493607,2020-02-08 13:56:13.013,5,Add FAQ to MenuItem
36,493612,2020-02-08 13:56:17.497,5,Select MenuType
37,493613,2020-02-08 13:56:18.840,5,Open FAQ Page
39,493615,2020-02-08 13:56:34.107,5,Select MenuType
40,493616,2020-02-08 13:56:34.107,5,Select Menu Item Type
41,493617,2020-02-08 13:56:34.107,5,Add FAQ to MenuItem
42,493618,2020-02-08 13:56:35.730,5,Select Menu Item Type
43,493619,2020-02-08 13:56:35.730,5,Select MenuType
44,493620,2020-02-08 13:56:35.730,5,Add FAQ to MenuItem
45,493621,2020-02-08 13:56:38.060,5,Open FAQ Page
47,493623,2020-02-08 13:56:56.967,5,Add FAQ to MenuItem
48,493624,2020-02-08 13:56:56.967,5,Select Menu Item Type
49,493625,2020-02-08 13:56:56.967,5,Select MenuType
53,493629,2020-02-08 13:56:58.950,5,Select MenuType
54,493630,2020-02-08 13:56:58.950,5,Select Menu Item Type
55,493631,2020-02-08 13:56:58.950,5,Add FAQ to MenuItem
62,493638,2020-02-08 13:57:00.887,5,Add FAQ to MenuItem
63,493639,2020-02-08 13:57:00.887,5,Select Menu Item Type
64,493640,2020-02-08 13:57:00.887,5,Select MenuType
65,493641,2020-02-08 13:57:06.513,5,Open FAQ Page
67,493643,2020-02-08 13:57:18.810,5,Select Menu Item Type
68,493644,2020-02-08 13:57:18.810,5,Select MenuType
69,493645,2020-02-08 13:57:18.810,5,Add FAQ to MenuItem
70,493646,2020-02-08 13:57:23.107,5,Open ApplcationMenuCategory
74,493650,2020-02-08 13:57:28.200,5,Open Article Page
75,493651,2020-02-08 13:57:30.920,5,Select MenuType
76,493652,2020-02-08 13:57:30.920,5,Select Menu Item Type
77,493653,2020-02-08 13:57:30.920,5,Add FAQ to MenuItem
78,493654,2020-02-08 13:57:40.403,5,Open FAQ Page
80,493656,2020-02-08 13:57:57.467,5,Select MenuType
81,493657,2020-02-08 13:57:57.467,5,Add FAQ to MenuItem
82,493658,2020-02-08 13:57:57.467,5,Select Menu Item Type
84,493660,2020-02-08 13:58:02.357,5,Select MenuType
85,493661,2020-02-08 13:58:02.357,5,Select Menu Item Type
86,493662,2020-02-08 13:58:04.093,5,Open FAQ Page
88,493664,2020-02-08 13:58:15.373,5,Select Menu Item Type
89,493665,2020-02-08 13:58:15.373,5,Add FAQ to MenuItem
90,493666,2020-02-08 13:58:15.373,5,Select MenuType
91,493667,2020-02-08 13:58:17.420,5,Open FAQ Page
95,493671,2020-02-08 13:58:41.810,5,Select MenuType
99,493675,2020-02-08 13:58:46.827,5,Login
100,493676,2020-02-08 13:58:46.827,5,Login
104,493680,2020-02-08 13:58:48.653,5,Open Article Page
105,493681,2020-02-08 13:58:59.013,5,Open FAQ Page
106,493682,2020-02-08 13:59:11.390,5,Open FAQ PAge
109,493685,2020-02-08 13:59:22.407,5,Select Menu Item Type
110,493686,2020-02-08 13:59:22.407,5,Select MenuType
111,493687,2020-02-08 13:59:22.407,5,Add FAQ to MenuItem
112,493688,2020-02-08 13:59:29.750,5,Open FAQ Page
114,493691,2020-02-08 13:59:42.437,5,Select MenuType
115,493692,2020-02-08 13:59:42.437,5,Select Menu Item Type
116,493693,2020-02-08 13:59:42.437,5,Add FAQ to MenuItem
119,493696,2020-02-08 13:59:47.687,5,Select MenuType
120,493697,2020-02-08 13:59:47.687,5,Select Menu Item Type
121,493698,2020-02-08 13:59:47.687,5,Add FAQ to MenuItem
122,493699,2020-02-08 13:59:57.470,5,Open FAQ Page
124,493701,2020-02-08 14:00:11.360,5,Select Menu Item Type
125,493702,2020-02-08 14:00:11.360,5,Add FAQ to MenuItem
126,493703,2020-02-08 14:00:11.360,5,Select MenuType
127,493704,2020-02-08 14:00:17.047,5,Open FAQ Page
129,493706,2020-02-08 14:00:31.220,5,Add FAQ to MenuItem
130,493707,2020-02-08 14:00:31.220,5,Select Menu Item Type
131,493708,2020-02-08 14:00:31.220,5,Select MenuType
133,493710,2020-02-08 14:00:44.220,5,Select Menu Item Type
134,493711,2020-02-08 14:00:44.220,5,Select MenuType
135,493712,2020-02-08 14:00:44.220,5,Add FAQ to MenuItem
136,493713,2020-02-08 14:00:50.610,5,Open ApplcationMenuCategory
137,493714,2020-02-08 14:00:56.657,5,Open FAQ Page
138,493718,2020-02-08 14:00:57.890,5,Select Menu Item Type
139,493721,2020-02-08 14:01:04.580,5,Open FAQ Page
141,493723,2020-02-08 14:01:17.610,5,Select MenuType
142,493724,2020-02-08 14:01:17.610,5,Add FAQ to MenuItem
143,493725,2020-02-08 14:01:17.610,5,Select Menu Item Type
