,ID,DateTime,UserID,UserAction
2,607470,2020-01-21 18:39:57.917,1,Login
5,607473,2020-01-21 18:39:59.743,1,Login
9,607477,2020-01-21 18:40:01.993,1,Open Careprovider Page
11,607479,2020-01-21 18:40:03.197,1,Open Application Page
12,607480,2020-01-21 18:40:05.510,1,Open ApplcationMenuCategory
16,607484,2020-01-21 18:40:08.823,1,Open Article Page
21,607489,2020-01-21 18:40:13.933,1,Open FAQ Page
23,607491,2020-01-21 18:40:19.010,1,Add FAQ to MenuItem
25,607493,2020-01-21 18:40:19.010,1,Select Menu Item Type
26,607494,2020-01-21 18:40:19.010,1,Select MenuType
