ID,DateTime,UserID,Controller,Action,Method,ActionParameters
493567,2020-02-08 13:53:09.413,5,Login,AuthCheck,GET,{}
493568,2020-02-08 13:53:09.447,5,Login,AuthCheck,GET,{}
493569,2020-02-08 13:53:09.510,5,Environment,Get,GET,{}
493570,2020-02-08 13:53:09.523,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
493571,2020-02-08 13:53:12.463,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
493572,2020-02-08 13:53:12.463,5,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
493573,2020-02-08 13:53:12.477,5,FaqList,Index,GET,{}
493575,2020-02-08 13:53:14.900,5,Login,AuthCheck,GET,{}
493576,2020-02-08 13:53:14.930,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
493577,2020-02-08 13:53:25.430,5,Login,AuthCheck,GET,{}
493578,2020-02-08 13:53:25.463,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
493579,2020-02-08 13:53:26.900,5,Style,Index,GET,{}
493580,2020-02-08 13:53:26.900,5,CareProvider,Index,GET,"{""concept"":false,""hide"":false}"
493581,2020-02-08 13:53:26.913,5,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
493582,2020-02-08 13:53:26.993,5,Application,Index,GET,"{""onlyAutomaticInvites"":null}"
493583,2020-02-08 13:53:28.103,5,Application,Read,GET,"{""id"":1}"
493585,2020-02-08 13:53:33.243,5,ApplicationMenuCategory,ApplicationIndex,GET,"{""applicationID"":1}"
493586,2020-02-08 13:53:49.790,5,ApplicationMenuCategory,UpdateCategory,POST,"{""id"":1,""model"":{""ID"":1,""ApplicationID"":1,""Order"":1,""Title"":""Mijn uitslagen"",""Column"":0,""ApplicationMenuItems"":[]}}"
493587,2020-02-08 13:53:54.773,5,ApplicationMenuCategory,UpdateCategory,POST,"{""id"":1,""model"":{""ID"":1,""ApplicationID"":1,""Order"":2,""Title"":""Mijn uitslagen"",""Column"":0,""ApplicationMenuItems"":[]}}"
493588,2020-02-08 13:54:02.900,5,ApplicationMenuCategory,UpdateCategory,POST,"{""id"":2,""model"":{""ID"":2,""ApplicationID"":1,""Order"":1,""Title"":""Mijn taken"",""Column"":0,""ApplicationMenuItems"":[]}}"
493589,2020-02-08 13:54:14.430,5,ApplicationMenuCategory,UpdateCategory,POST,"{""id"":3,""model"":{""ID"":3,""ApplicationID"":1,""Order"":1,""Title"":""Mijn dossier"",""Column"":1,""ApplicationMenuItems"":[]}}"
493590,2020-02-08 13:54:27.557,5,ApplicationMenuCategory,CreateCategory,POST,"{""model"":{""ID"":0,""ApplicationID"":1,""Order"":2,""Title"":""Mijn medicijnen"",""Column"":1,""ApplicationMenuItems"":null}}"
493592,2020-02-08 13:54:46.697,5,ApplicationMenuCategory,CreateCategory,POST,"{""model"":{""ID"":0,""ApplicationID"":1,""Order"":1,""Title"":""Persoonlijke situatie"",""Column"":2,""ApplicationMenuItems"":null}}"
493593,2020-02-08 13:54:54.057,5,ApplicationMenuCategory,CreateCategory,POST,"{""model"":{""ID"":0,""ApplicationID"":1,""Order"":2,""Title"":""MijnJBZmap"",""Column"":2,""ApplicationMenuItems"":null}}"
493594,2020-02-08 13:54:56.213,5,FaqList,Index,GET,{}
493595,2020-02-08 13:54:56.213,5,ApplicationMenuItem,Index,GET,"{""categoryID"":1,""applicationId"":null}"
493596,2020-02-08 13:54:56.230,5,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
493598,2020-02-08 13:55:02.573,5,ApplicationMenuItemArticle,Index,GET,"{""applicationMenuItemId"":4}"
493601,2020-02-08 13:55:04.620,5,FaqList,Index,GET,{}
493602,2020-02-08 13:55:54.307,5,ApplicationMenuItem,UpdateItem,POST,"{""id"":4,""model"":{""ID"":4,""ApplicationMenuCategoryID"":1,""ApplicationID"":null,""Order"":1,""Title"":""Microbiologie (kweken)"",""FrameTitle"":""Microbiologie (kweken)"",""URL"":""{Portal.BaseUrl}/Dossier/Uitslagen/Paginas/MicrobiologieuitslagenMededeling.aspx"",""Icon"":16,""Type"":0,""HideForCareprovider"":true,""HideForDemo"":true,""HideForTrial"":true,""NavigatesBackToPrevious"":true,""ConclusionAndPolicyTemplateId"":null,""ConclusionAndPolicyDepartmentName"":null,""ConclusionAndPolicyColumnNames"":null,""ConclusionAndPolicyConsultTypes"":null,""ConclusionAndPolicyStartDate"":null,""ConclusionAndPolicyDelay"":null,""LetterViewBaseUrl"":null,""SettingsDescription"":"""",""SettingsPush"":false,""SettingsPushDescription"":null,""SettingsSMS"":false,""SettingsSMSDescription"":null,""SettingsEmail"":false,""SettingsEmailDescription"":null,""SMSEmailDescription"":"""",""UseSAMLPortalIntegration"":false,""ShowPopup"":false,""ShowPopupAgain"":false,""PopupTitle"":"""",""PopupContent"":"""",""ShowPopupAgainContent"":"""",""ShowLoadingIndicator"":false,""NotificationId"":null,""Notification"":null}}"
493603,2020-02-08 13:55:54.353,5,ApplicationMenuItemFaqList,Index,GET,"{""applicationMenuItemId"":4}"
493604,2020-02-08 13:55:54.353,5,ApplicationMenuItemArticle,Index,GET,"{""applicationMenuItemId"":4}"
