ID,DateTime,UserID,Controller,Action,Method,ActionParameters
575216,2019-11-27 10:30:39.650,5,Login,AuthCheck,GET,{}
575217,2019-11-27 10:30:39.683,5,Login,AuthCheck,GET,{}
575218,2019-11-27 10:30:39.747,5,Environment,Get,GET,{}
575219,2019-11-27 10:30:39.787,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
575220,2019-11-27 10:30:41.070,5,Login,AuthCheck,GET,{}
575221,2019-11-27 10:30:41.310,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
575222,2019-11-27 10:30:46.560,5,Application,Index,GET,"{""onlyAutomaticInvites"":null}"
575223,2019-11-27 10:30:46.560,5,Style,Index,GET,{}
575224,2019-11-27 10:30:46.563,5,CareProvider,Index,GET,"{""concept"":false,""hide"":false}"
575225,2019-11-27 10:30:46.637,5,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
575226,2019-11-27 10:30:47.623,5,ReferralSection,Index,GET,"{""applicationId"":1}"
575227,2019-11-27 10:30:47.627,5,Application,Read,GET,"{""id"":1}"
575228,2019-11-27 10:30:49.587,5,ApplicationMenuCategory,ApplicationIndex,GET,"{""applicationID"":1}"
575229,2019-11-27 10:30:52.023,5,ApplicationMenuItem,Index,GET,"{""categoryID"":3,""applicationId"":null}"
575230,2019-11-27 10:30:52.037,5,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
575231,2019-11-27 10:30:52.040,5,GeneralSetting,IsChipsoftEpd,GET,{}
575232,2019-11-27 10:30:52.087,5,FaqList,Index,GET,{}
575233,2019-11-27 10:30:53.170,5,ApplicationMenuItemFaqList,Index,GET,"{""applicationMenuItemId"":6}"
575234,2019-11-27 10:30:53.170,5,ApplicationMenuItemArticle,Index,GET,"{""applicationMenuItemId"":6}"
575235,2019-11-27 10:30:53.177,5,ApplicationMenuItemTemplate,Index,GET,"{""applicationMenuItemId"":6}"
575236,2019-11-27 10:30:53.170,5,ApplicationMenuItemLink,Index,GET,"{""applicationMenuItemId"":null}"
575237,2019-11-27 10:30:53.327,5,FaqList,Index,GET,{}
