,ID,DateTime,UserID,UserAction
3,694805,2020-05-25 08:43:55.947,1016,Login
8,694810,2020-05-25 08:44:25.113,1016,Setup Virtual assistant
11,694813,2020-05-25 08:44:25.503,1016,Open Pathway Page
17,694819,2020-05-25 08:44:26.920,1016,Open File Page
23,694825,2020-05-25 08:44:53.673,1016,Open File Page
24,694826,2020-05-25 08:44:53.673,1016,Open Phase Page
25,694827,2020-05-25 08:44:55.993,1016,Open FAQ Page
27,694829,2020-05-25 08:44:53.613,1016,Login
50,694852,2020-05-25 08:44:57.120,1016,Open PhaseWaypoint Page
53,694858,2020-05-25 08:45:14.307,1016,Open Notification Page
75,694880,2020-05-25 08:45:14.600,1016,Open PhaseWaypoint Page
88,694893,2020-05-25 08:45:16.457,1016,Open PhaseWaypoint page
89,694894,2020-05-25 08:45:16.457,1016,Open Notification Page
96,694901,2020-05-25 08:45:18.343,1016,Open Notification Page
103,694908,2020-05-25 08:45:19.447,1016,Open PhaseWaypoint page
124,694929,2020-05-25 08:45:24.807,1016,Open PhaseWaypoint Page
130,694954,2020-05-25 08:46:11.937,1016,Open File Page
