,ID,DateTime,UserID,UserAction
3,694805,2020-05-25 08:43:55.947,1016,Login
8,694810,2020-05-25 08:44:25.113,1016,Setup Virtual assistant
11,694813,2020-05-25 08:44:25.503,1016,Open Pathway Page
17,694819,2020-05-25 08:44:26.920,1016,Open File Page
25,694827,2020-05-25 08:44:55.993,1016,Open FAQ Page
27,694829,2020-05-25 08:44:53.613,1016,Login
50,694852,2020-05-25 08:44:57.120,1016,Open PhaseWaypoint Page
53,694858,2020-05-25 08:45:14.307,1016,Open Notification Page
75,694880,2020-05-25 08:45:14.600,1016,Open PhaseWaypoint Page
89,694894,2020-05-25 08:45:16.457,1016,Open Notification Page
96,694901,2020-05-25 08:45:18.343,1016,Open Notification Page
103,694908,2020-05-25 08:45:19.447,1016,Open PhaseWaypoint page
124,694929,2020-05-25 08:45:24.807,1016,Open PhaseWaypoint Page
130,694954,2020-05-25 08:46:11.937,1016,Open File Page
3,1669347,2020-06-03 12:18:43.197,24,Login
11,1669355,2020-06-03 12:18:44.993,24,Open Pathway Page
17,1669361,2020-06-03 12:18:46.163,24,Open Pathway Page
33,1669377,2020-06-03 12:19:26.240,24,Open PhaseWaypoint page
58,1669402,2020-06-03 12:20:41.943,24,Open PhaseWaypoint page
69,1669413,2020-06-03 12:21:12.433,24,Open File Page
70,1669414,2020-06-03 12:21:23.667,24,Open Department Page
71,1669415,2020-06-03 12:21:25.840,24,Open Waypoint Page
72,1669416,2020-06-03 12:21:28.213,24,Open Waypoint Page
73,1669417,2020-06-03 12:21:35.027,24,Open Criteria Page
74,1669418,2020-06-03 12:21:49.760,24,Open Criteria Page
75,1669419,2020-06-03 12:21:53.870,24,Open Criteria Page
