ID,DateTime,UserID,Controller,Action,Method,ActionParameters
1669344,2020-06-03 12:18:43.040,24,Login,AuthCheck,GET,{}
1669345,2020-06-03 12:18:43.073,24,Login,AuthCheck,GET,{}
1669346,2020-06-03 12:18:43.150,24,Environment,Get,GET,{}
1669347,2020-06-03 12:18:43.197,24,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1669348,2020-06-03 12:18:44.667,24,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1669349,2020-06-03 12:18:44.667,24,Settings,GetVirtualAssistantSettings,GET,{}
1669350,2020-06-03 12:18:44.680,24,ContentProfile,Index,GET,{}
1669351,2020-06-03 12:18:44.697,24,Application,Index,GET,"{""onlyAutomaticInvites"":null}"
1669352,2020-06-03 12:18:44.697,24,Department,Index,GET,{}
1669353,2020-06-03 12:18:44.713,24,Waypoint,Index,GET,"{""lite"":true,""basic"":null}"
1669354,2020-06-03 12:18:44.727,24,Settings,GetKTOSettings,GET,{}
1669355,2020-06-03 12:18:44.993,24,Pathway,Index,GET,"{""lite"":null,""applicationID"":null}"
1669356,2020-06-03 12:18:46.053,24,PhaseType,Index,GET,{}
1669357,2020-06-03 12:18:46.070,24,Phase,Index,GET,"{""pathwayID"":null}"
1669358,2020-06-03 12:18:46.070,24,Settings,GetImageContextPath,GET,{}
1669359,2020-06-03 12:18:46.070,24,ContextCriteria,Index,GET,"{""type"":7,""lite"":true}"
1669360,2020-06-03 12:18:46.083,24,File,Index,GET,"{""showFilesOnDisk"":null,""isUsed"":null,""isPhaseImage"":true}"
1669361,2020-06-03 12:18:46.163,24,Pathway,Index,GET,"{""lite"":true,""applicationID"":null}"
1669362,2020-06-03 12:19:26.050,24,Checklist,Index,GET,{}
1669363,2020-06-03 12:19:26.050,24,Settings,GetKTOSettings,GET,{}
1669364,2020-06-03 12:19:26.050,24,Pathway,Index,GET,"{""lite"":true,""applicationID"":null}"
1669365,2020-06-03 12:19:26.050,24,Diary,Index,GET,{}
1669366,2020-06-03 12:19:26.067,24,Waypoint,Index,GET,"{""lite"":true,""basic"":null}"
1669367,2020-06-03 12:19:26.080,24,PreceptMatrix,Index,GET,{}
1669368,2020-06-03 12:19:26.080,24,FaqList,Index,GET,{}
1669369,2020-06-03 12:19:26.097,24,ContextCriteria,Index,GET,"{""type"":null,""lite"":true}"
1669370,2020-06-03 12:19:26.097,24,Questionnaire,Index,GET,"{""pathwayId"":null,""type"":[]}"
1669371,2020-06-03 12:19:26.097,24,CareProvider,Index,GET,"{""concept"":false,""hide"":false}"
1669372,2020-06-03 12:19:26.097,24,PhaseWaypoint,Index,GET,"{""phaseId"":2354,""pathwayId"":null,""global"":null,""trial"":null,""lite"":null}"
1669373,2020-06-03 12:19:26.143,24,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":null,""global"":true,""trial"":null,""lite"":null}"
1669374,2020-06-03 12:19:26.143,24,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":null,""notificationId"":null}"
1669375,2020-06-03 12:19:26.170,24,Phase,Read,GET,"{""id"":2354}"
1669376,2020-06-03 12:19:26.177,24,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
1669377,2020-06-03 12:19:26.240,24,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":33,""global"":null,""trial"":true,""lite"":true}"
1669378,2020-06-03 12:19:26.240,24,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":33,""global"":null,""trial"":null,""lite"":true}"
1669379,2020-06-03 12:19:26.170,24,Notification,Index,GET,"{""actions"":[0,1,4,3],""lite"":true,""isGeneral"":null}"
1669380,2020-06-03 12:19:26.737,24,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":10589}"
1669381,2020-06-03 12:19:26.737,24,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":10589}"
1669382,2020-06-03 12:19:26.737,24,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":10589}"
1669383,2020-06-03 12:19:26.737,24,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":10589}"
1669384,2020-06-03 12:19:26.740,24,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":10589}"
1669385,2020-06-03 12:19:26.737,24,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":10589}"
1669386,2020-06-03 12:19:26.740,24,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":10589,""notificationId"":null}"
1669387,2020-06-03 12:19:27.773,24,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":10588}"
