ID,DateTime,UserID,Controller,Action,Method,ActionParameters
694802,2020-05-25 08:43:55.753,1016,Login,AuthCheck,GET,{}
694803,2020-05-25 08:43:55.803,1016,Login,AuthCheck,GET,{}
694804,2020-05-25 08:43:55.897,1016,Environment,Get,GET,{}
694805,2020-05-25 08:43:55.947,1016,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
694806,2020-05-25 08:44:25.020,1016,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
694807,2020-05-25 08:44:25.057,1016,ContentProfile,Index,GET,{}
694808,2020-05-25 08:44:25.057,1016,Application,Index,GET,"{""onlyAutomaticInvites"":null}"
694809,2020-05-25 08:44:25.060,1016,Settings,GetKTOSettings,GET,{}
694810,2020-05-25 08:44:25.113,1016,Settings,GetVirtualAssistantSettings,GET,{}
694811,2020-05-25 08:44:25.073,1016,Department,Index,GET,{}
694812,2020-05-25 08:44:25.167,1016,Waypoint,Index,GET,"{""lite"":true,""basic"":null}"
694813,2020-05-25 08:44:25.503,1016,Pathway,Index,GET,"{""lite"":null,""applicationID"":null}"
694814,2020-05-25 08:44:26.800,1016,Settings,GetImageContextPath,GET,{}
694815,2020-05-25 08:44:26.813,1016,PhaseType,Index,GET,{}
694816,2020-05-25 08:44:26.820,1016,Phase,Index,GET,"{""pathwayID"":null}"
694817,2020-05-25 08:44:26.850,1016,Pathway,Index,GET,"{""lite"":true,""applicationID"":null}"
694818,2020-05-25 08:44:26.867,1016,ContextCriteria,Index,GET,"{""type"":7,""lite"":true}"
694819,2020-05-25 08:44:26.920,1016,File,Index,GET,"{""showFilesOnDisk"":null,""isUsed"":null,""isPhaseImage"":true}"
694820,2020-05-25 08:44:53.597,1016,Environment,Get,GET,{}
694821,2020-05-25 08:44:53.603,1016,Settings,GetImageContextPath,GET,{}
694822,2020-05-25 08:44:53.607,1016,PhaseType,Index,GET,{}
694823,2020-05-25 08:44:53.610,1016,Pathway,Index,GET,"{""lite"":true,""applicationID"":null}"
694824,2020-05-25 08:44:53.610,1016,ContextCriteria,Index,GET,"{""type"":7,""lite"":true}"
694825,2020-05-25 08:44:53.673,1016,File,Index,GET,"{""showFilesOnDisk"":null,""isUsed"":null,""isPhaseImage"":true}"
694826,2020-05-25 08:44:53.673,1016,Phase,Index,GET,"{""pathwayID"":null}"
694827,2020-05-25 08:44:55.993,1016,FaqList,Index,GET,{}
694828,2020-05-25 08:44:55.993,1016,PreceptMatrix,Index,GET,{}
694829,2020-05-25 08:44:53.613,1016,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
694830,2020-05-25 08:44:56.010,1016,Notification,Index,GET,"{""actions"":[0,1,4,3],""lite"":true,""isGeneral"":null}"
694831,2020-05-25 08:44:56.020,1016,ContextCriteria,Index,GET,"{""type"":null,""lite"":true}"
694832,2020-05-25 08:44:56.047,1016,Checklist,Index,GET,{}
694833,2020-05-25 08:44:56.097,1016,Waypoint,Index,GET,"{""lite"":true,""basic"":null}"
694834,2020-05-25 08:44:56.140,1016,CareProvider,Index,GET,"{""concept"":false,""hide"":false}"
694835,2020-05-25 08:44:56.160,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":null,""notificationId"":null}"
694836,2020-05-25 08:44:56.173,1016,Settings,GetKTOSettings,GET,{}
694837,2020-05-25 08:44:56.187,1016,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
694838,2020-05-25 08:44:56.190,1016,Pathway,Index,GET,"{""lite"":true,""applicationID"":null}"
694839,2020-05-25 08:44:56.223,1016,Diary,Index,GET,{}
694840,2020-05-25 08:44:56.240,1016,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":null,""global"":true,""trial"":null,""lite"":null}"
694841,2020-05-25 08:44:56.240,1016,Phase,Read,GET,"{""id"":147}"
694842,2020-05-25 08:44:56.257,1016,PhaseWaypoint,Index,GET,"{""phaseId"":147,""pathwayId"":null,""global"":null,""trial"":null,""lite"":null}"
694843,2020-05-25 08:44:56.333,1016,Questionnaire,Index,GET,"{""pathwayId"":null,""type"":[]}"
694844,2020-05-25 08:44:56.707,1016,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":16,""global"":null,""trial"":true,""lite"":true}"
694845,2020-05-25 08:44:56.707,1016,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":16,""global"":null,""trial"":null,""lite"":true}"
694846,2020-05-25 08:44:57.087,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3183,""notificationId"":null}"
694847,2020-05-25 08:44:57.090,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3183}"
694848,2020-05-25 08:44:57.090,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3183}"
694849,2020-05-25 08:44:57.093,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3183}"
694850,2020-05-25 08:44:57.093,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3183}"
694851,2020-05-25 08:44:57.103,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3183}"
694852,2020-05-25 08:44:57.120,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3183}"
694856,2020-05-25 08:45:14.297,1016,Pathway,Index,GET,"{""lite"":true,""applicationID"":null}"
694857,2020-05-25 08:45:14.297,1016,Settings,GetKTOSettings,GET,{}
694858,2020-05-25 08:45:14.307,1016,Notification,Index,GET,"{""actions"":[0,1,4,3],""lite"":true,""isGeneral"":null}"
694859,2020-05-25 08:45:14.303,1016,Checklist,Index,GET,{}
694860,2020-05-25 08:45:14.313,1016,PreceptMatrix,Index,GET,{}
694861,2020-05-25 08:45:14.313,1016,Waypoint,Index,GET,"{""lite"":true,""basic"":null}"
694862,2020-05-25 08:45:14.313,1016,Questionnaire,Index,GET,"{""pathwayId"":null,""type"":[]}"
694863,2020-05-25 08:45:14.313,1016,Article,Index,GET,"{""includeChildren"":false,""includeConceptArticles"":false}"
694864,2020-05-25 08:45:14.313,1016,Diary,Index,GET,{}
694865,2020-05-25 08:45:14.313,1016,ContextCriteria,Index,GET,"{""type"":null,""lite"":true}"
694866,2020-05-25 08:45:14.317,1016,PhaseWaypoint,Index,GET,"{""phaseId"":148,""pathwayId"":null,""global"":null,""trial"":null,""lite"":null}"
694867,2020-05-25 08:45:14.317,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":null,""notificationId"":null}"
694868,2020-05-25 08:45:14.330,1016,Phase,Read,GET,"{""id"":148}"
694869,2020-05-25 08:45:14.333,1016,CareProvider,Index,GET,"{""concept"":false,""hide"":false}"
694870,2020-05-25 08:45:14.347,1016,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":null,""global"":true,""trial"":null,""lite"":null}"
694871,2020-05-25 08:45:14.383,1016,FaqList,Index,GET,{}
694872,2020-05-25 08:45:14.567,1016,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":16,""global"":null,""trial"":true,""lite"":true}"
694873,2020-05-25 08:45:14.570,1016,PhaseWaypoint,Index,GET,"{""phaseId"":null,""pathwayId"":16,""global"":null,""trial"":null,""lite"":true}"
694874,2020-05-25 08:45:14.587,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3196}"
694875,2020-05-25 08:45:14.587,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3196}"
694876,2020-05-25 08:45:14.587,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3196}"
694877,2020-05-25 08:45:14.590,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3196,""notificationId"":null}"
694878,2020-05-25 08:45:14.593,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3196}"
694879,2020-05-25 08:45:14.593,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3196}"
694880,2020-05-25 08:45:14.600,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3196}"
694881,2020-05-25 08:45:15.720,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3191}"
694882,2020-05-25 08:45:15.720,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3191}"
694883,2020-05-25 08:45:15.720,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3191}"
694884,2020-05-25 08:45:15.723,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3191}"
694885,2020-05-25 08:45:15.723,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3191}"
694886,2020-05-25 08:45:15.727,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3191,""notificationId"":null}"
694887,2020-05-25 08:45:15.730,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3191}"
694888,2020-05-25 08:45:16.450,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3195}"
694889,2020-05-25 08:45:16.450,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3195}"
694890,2020-05-25 08:45:16.450,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3195}"
694891,2020-05-25 08:45:16.450,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3195}"
694892,2020-05-25 08:45:16.450,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3195}"
694893,2020-05-25 08:45:16.457,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3195}"
694894,2020-05-25 08:45:16.457,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3195,""notificationId"":null}"
694895,2020-05-25 08:45:18.337,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3182}"
694896,2020-05-25 08:45:18.337,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3182}"
694897,2020-05-25 08:45:18.337,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3182}"
694898,2020-05-25 08:45:18.337,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3182}"
694899,2020-05-25 08:45:18.340,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3182}"
694900,2020-05-25 08:45:18.340,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3182}"
694901,2020-05-25 08:45:18.343,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3182,""notificationId"":null}"
694902,2020-05-25 08:45:19.423,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3181}"
694903,2020-05-25 08:45:19.423,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3181}"
694904,2020-05-25 08:45:19.423,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3181}"
694905,2020-05-25 08:45:19.427,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3181}"
694906,2020-05-25 08:45:19.427,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3181}"
694907,2020-05-25 08:45:19.433,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3181,""notificationId"":null}"
694908,2020-05-25 08:45:19.447,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3181}"
694909,2020-05-25 08:45:23.323,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3193}"
694910,2020-05-25 08:45:23.323,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3193}"
694911,2020-05-25 08:45:23.323,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3193}"
694912,2020-05-25 08:45:23.323,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3193}"
694913,2020-05-25 08:45:23.323,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3193}"
694914,2020-05-25 08:45:23.323,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3193}"
694915,2020-05-25 08:45:23.333,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3193,""notificationId"":null}"
694916,2020-05-25 08:45:24.030,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3194}"
694917,2020-05-25 08:45:24.037,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3194,""notificationId"":null}"
694918,2020-05-25 08:45:24.037,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3194}"
694919,2020-05-25 08:45:24.037,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3194}"
694920,2020-05-25 08:45:24.040,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3194}"
694921,2020-05-25 08:45:24.040,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3194}"
694922,2020-05-25 08:45:24.040,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3194}"
694923,2020-05-25 08:45:24.797,1016,PhaseWaypointDescription,Index,GET,"{""phaseWaypointId"":3192}"
694924,2020-05-25 08:45:24.800,1016,NotificationWaypoint,Index,GET,"{""phaseWaypointId"":3192,""notificationId"":null}"
694925,2020-05-25 08:45:24.800,1016,PhaseWaypointArticle,Index,GET,"{""phaseWaypointId"":3192}"
694926,2020-05-25 08:45:24.800,1016,PhaseWaypointChecklist,Index,GET,"{""phaseWaypointId"":3192}"
694927,2020-05-25 08:45:24.803,1016,PhaseWaypointFaqList,Index,GET,"{""phaseWaypointId"":3192}"
694928,2020-05-25 08:45:24.803,1016,PhaseWaypointQuestionnaire,Index,GET,"{""phaseWaypointId"":3192}"
694929,2020-05-25 08:45:24.807,1016,PhaseWaypointPreceptMatrix,Index,GET,"{""phaseWaypointId"":3192}"
694949,2020-05-25 08:46:11.897,1016,PhaseType,Index,GET,{}
694950,2020-05-25 08:46:11.897,1016,Settings,GetImageContextPath,GET,{}
694951,2020-05-25 08:46:11.903,1016,Phase,Index,GET,"{""pathwayID"":null}"
