ID;DateTime;UserID;Controller;Action;Method;ActionParameters
105235;2020-06-12 12:14:34.850;1;Login;AuthCheck;GET;{}
105236;2020-06-12 12:14:34.863;1;Login;AuthCheck;GET;{}
105237;2020-06-12 12:14:34.943;1;Environment;Get;GET;{}
105238;2020-06-12 12:14:34.990;1;Addon;IsEnabled;GET;"{""name"":""FolderReview""}"
105239;2020-06-12 12:14:36.147;1;Login;AuthCheck;GET;{}
105240;2020-06-12 12:14:36.210;1;Addon;IsEnabled;GET;"{""name"":""FolderReview""}"
105241;2020-06-12 12:14:42.223;1;Login;AuthCheck;GET;{}
105242;2020-06-12 12:14:42.257;1;Addon;IsEnabled;GET;"{""name"":""FolderReview""}"
105243;2020-06-12 12:14:45.007;1;Addon;IsEnabled;GET;"{""name"":""FolderReview""}"
105244;2020-06-12 12:14:45.020;1;Settings;GetVirtualAssistantSettings;GET;{}
105245;2020-06-12 12:14:45.020;1;Application;Index;GET;"{""onlyAutomaticInvites"":null}"
105246;2020-06-12 12:14:45.020;1;ContentProfile;Index;GET;{}
105247;2020-06-12 12:14:45.020;1;Settings;GetKTOSettings;GET;{}
105248;2020-06-12 12:14:45.037;1;Department;Index;GET;{}
105249;2020-06-12 12:14:45.117;1;Waypoint;Index;GET;"{""lite"":true,""basic"":null}"
105250;2020-06-12 12:14:45.473;1;Pathway;Index;GET;"{""lite"":null,""applicationID"":null}"
105251;2020-06-12 12:14:51.333;1;Settings;GetImageContextPath;GET;{}
105252;2020-06-12 12:14:51.333;1;PhaseType;Index;GET;{}
105253;2020-06-12 12:14:51.333;1;Phase;Index;GET;"{""pathwayID"":null}"
105254;2020-06-12 12:14:51.367;1;Pathway;Index;GET;"{""lite"":true,""applicationID"":null}"
105255;2020-06-12 12:14:51.380;1;ContextCriteria;Index;GET;"{""type"":7,""lite"":true}"
105256;2020-06-12 12:14:51.960;1;File;Index;GET;"{""showFilesOnDisk"":null,""isUsed"":null,""isPhaseImage"":true}"
105257;2020-06-12 12:15:00.100;1;Pathway;Index;GET;"{""lite"":true,""applicationID"":null}"
105258;2020-06-12 12:15:00.130;1;Settings;GetKTOSettings;GET;{}
105259;2020-06-12 12:15:00.117;1;PreceptMatrix;Index;GET;{}
105264;2020-06-12 12:15:00.147;1;ContextCriteria;Index;GET;"{""type"":null,""lite"":true}"
105265;2020-06-12 12:15:00.147;1;CareProvider;Index;GET;"{""concept"":false,""hide"":false}"
