,ID,DateTime,UserID,UserAction
3,1630849,2020-04-16 10:09:03.570,14,Login
8,1630854,2020-04-16 10:09:05.803,14,Open Role Page
12,1630858,2020-04-16 10:09:14.867,14,Login
13,1630859,2020-04-16 10:09:14.913,14,Open Role Page
14,1630860,2020-04-16 10:09:14.867,14,Open Right page
16,1630862,2020-04-16 10:09:26.100,14,Update Role
17,1630863,2020-04-16 10:09:46.180,14,Update Role
18,1630864,2020-04-16 10:10:37.023,14,Create Role
21,1630867,2020-04-16 10:10:39.620,14,Open User Page
22,1630868,2020-04-16 10:10:39.620,14,Open Role Page
23,1630869,2020-04-16 10:10:46.167,14,Save User
25,1630933,2020-04-16 10:16:36.070,14,Open Role Page
27,1630935,2020-04-16 10:16:40.570,14,Login
31,1630939,2020-04-16 10:16:42.087,14,Open Role Page
34,1630942,2020-04-16 10:17:20.743,14,Open User Page
35,1630943,2020-04-16 10:17:20.743,14,Open Role Page
36,1630944,2020-04-16 10:17:25.947,14,Save User
