,ID,DateTime,UserID,UserAction
3,1095359,2020-01-27 09:01:16.227,7,Login
10,1095366,2020-01-27 09:01:26.227,7,Open Role Page
11,1095367,2020-01-28 09:01:36.227,7,Create Role
15,1095556,2020-01-28 09:03:16.227,7,Login
20,1095562,2020-01-28 09:04:58.533,7,Open User Page
26,1095568,2020-01-28 09:05:01.167,7,Open Organization Page
27,1095569,2020-01-28 09:06:02.057,7,Create User
29,1095571,2020-01-28 09:06:12.340,7,Open Role Page
33,1095575,2020-01-28 09:06:16.933,7,Open Role Page
34,1095576,2020-01-28 09:06:37.573,7,Create User
35,1095577,2020-01-28 09:06:59.853,7,Create User
37,1095579,2020-01-28 09:07:51.497,7,Login
38,1095580,2020-01-28 09:08:37.933,7,Logout
42,1095591,2020-01-28 09:11:33.797,7,Login
43,1095595,2020-01-28 09:18:35.367,7,Logout
49,1095617,2020-01-28 09:19:25.627,7,Login
55,1095623,2020-01-28 09:19:27.870,7,Open Query Page
56,1095624,2020-01-28 09:19:30.133,7,Open Pathway Page
57,1095626,2020-01-28 09:28:24.863,7,Logout
61,1095644,2020-01-28 09:29:00.613,7,Open Application Page
66,1095649,2020-01-28 09:29:00.893,7,Open Query Page
75,1095658,2020-01-28 09:29:04.130,7,Open Role Page
76,1095659,2020-01-28 09:29:21.050,7,Update Role
77,1095661,2020-01-28 09:29:24.940,7,Logout
80,1095684,2020-01-28 09:29:48.113,7,Login
81,1095685,2020-01-28 09:29:48.113,7,Login
90,1095694,2020-01-28 09:29:51.550,7,Open Role Page
92,1095696,2020-01-28 09:29:53.333,7,Open Role Page
93,1095697,2020-01-28 09:29:58.770,7,Update Role
94,1095698,2020-01-28 09:30:00.223,7,Logout
102,1095720,2020-01-28 09:30:12.317,7,Open Query Page
103,1095721,2020-01-28 09:30:12.160,7,Open Application Page
104,1095722,2020-01-28 09:30:14.160,7,Login
113,1095731,2020-01-28 09:30:18.067,7,Open Role Page
114,1095732,2020-01-28 09:30:23.740,7,Update Role
116,1095734,2020-01-28 09:31:21.567,7,Logout
120,1096220,2020-01-28 10:50:37.293,7,Login
122,1096222,2020-01-28 10:50:39.463,7,Login
124,1096224,2020-01-28 10:50:42.057,7,Login
129,1096229,2020-01-28 10:50:44.337,7,Open Role Page
130,1096230,2020-01-28 10:51:00.980,7,Create User
131,1096236,2020-01-28 10:51:25.230,7,Create User
132,1096354,2020-01-28 10:54:30.920,7,Login
