ID,DateTime,UserID,Controller,Action,Method,ActionParameters
1095356,2020-01-27 17:35:56.793,7,Login,AuthCheck,GET,{}
1095357,2020-01-27 17:35:56.823,7,Login,AuthCheck,GET,{}
1095358,2020-01-27 17:35:56.920,7,Environment,Get,GET,{}
1095359,2020-01-27 17:35:56.967,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095360,2020-01-27 17:36:00.013,7,Organization,Index,GET,{}
1095361,2020-01-27 17:36:00.013,7,Group,Index,GET,{}
1095362,2020-01-27 17:36:00.060,7,User,Index,GET,{}
1095363,2020-01-27 17:36:00.060,7,Role,Index,GET,{}
1095364,2020-01-27 17:36:00.073,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095365,2020-01-27 17:36:01.777,7,Right,Index,GET,"{""flat"":false}"
1095366,2020-01-27 17:36:01.823,7,Role,Index,GET,{}
1095367,2020-01-27 17:36:59.637,7,Role,Create,POST,"{""model"":{""Role"":{""ID"":9,""Name"":""Beheer Bergman (externe rol)""},""Rights"":[{""ID"":108,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":109,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":110,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":111,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":112,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":113,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":114,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":133,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":153,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
1095553,2020-01-28 09:03:16.053,7,Login,AuthCheck,GET,{}
1095554,2020-01-28 09:03:16.097,7,Login,AuthCheck,GET,{}
1095555,2020-01-28 09:03:16.180,7,Environment,Get,GET,{}
1095556,2020-01-28 09:03:16.227,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095558,2020-01-28 09:04:58.430,7,Organization,Index,GET,{}
1095559,2020-01-28 09:04:58.430,7,Group,Index,GET,{}
1095560,2020-01-28 09:04:58.447,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095561,2020-01-28 09:04:58.510,7,Role,Index,GET,{}
1095562,2020-01-28 09:04:58.533,7,User,Index,GET,{}
1095563,2020-01-28 09:05:00.400,7,Right,Index,GET,"{""flat"":false}"
1095564,2020-01-28 09:05:00.463,7,Role,Index,GET,{}
1095565,2020-01-28 09:05:01.077,7,Group,Index,GET,{}
1095566,2020-01-28 09:05:01.150,7,User,Index,GET,{}
1095567,2020-01-28 09:05:01.150,7,Role,Index,GET,{}
1095568,2020-01-28 09:05:01.167,7,Organization,Index,GET,{}
1095569,2020-01-28 09:06:02.057,7,User,Create,POST,"{""model"":{""User"":{""ID"":25,""Username"":""Sascha"",""FirstName"":null,""MiddleName"":null,""LastName"":null,""FullName"":""Sascha"",""Active"":true,""FactorSlackUser"":null},""Roles"":[{""ID"":9,""Name"":null}],""Organizations"":null,""Groups"":null}}"
1095570,2020-01-28 09:06:12.290,7,Right,Index,GET,"{""flat"":false}"
1095571,2020-01-28 09:06:12.340,7,Role,Index,GET,{}
1095572,2020-01-28 09:06:16.840,7,Organization,Index,GET,{}
1095573,2020-01-28 09:06:16.840,7,Group,Index,GET,{}
1095574,2020-01-28 09:06:16.870,7,User,Index,GET,{}
1095575,2020-01-28 09:06:16.933,7,Role,Index,GET,{}
1095576,2020-01-28 09:06:37.573,7,User,Create,POST,"{""model"":{""User"":{""ID"":26,""Username"":""Anne"",""FirstName"":null,""MiddleName"":null,""LastName"":null,""FullName"":""Anne"",""Active"":true,""FactorSlackUser"":null},""Roles"":[{""ID"":9,""Name"":null}],""Organizations"":null,""Groups"":null}}"
1095577,2020-01-28 09:06:59.853,7,User,Create,POST,"{""model"":{""User"":{""ID"":27,""Username"":""Jeroen"",""FirstName"":null,""MiddleName"":null,""LastName"":null,""FullName"":""Jeroen"",""Active"":true,""FactorSlackUser"":null},""Roles"":[{""ID"":9,""Name"":null}],""Organizations"":null,""Groups"":null}}"
1095578,2020-01-28 09:07:51.433,7,Login,AuthCheck,GET,{}
1095579,2020-01-28 09:07:51.497,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095580,2020-01-28 09:08:37.933,7,Login,Logout,GET,{}
1095588,2020-01-28 09:11:33.657,7,Login,AuthCheck,GET,{}
1095589,2020-01-28 09:11:33.687,7,Login,AuthCheck,GET,{}
1095590,2020-01-28 09:11:33.733,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095591,2020-01-28 09:11:33.797,7,Environment,Get,GET,{}
1095595,2020-01-28 09:18:35.367,7,Login,Logout,GET,{}
1095612,2020-01-28 09:19:24.400,7,Login,AuthCheck,GET,{}
1095613,2020-01-28 09:19:24.460,7,Login,AuthCheck,GET,{}
1095614,2020-01-28 09:19:24.557,7,Environment,Get,GET,{}
1095615,2020-01-28 09:19:24.557,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095616,2020-01-28 09:19:25.413,7,Login,AuthCheck,GET,{}
1095617,2020-01-28 09:19:25.627,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095618,2020-01-28 09:19:27.710,7,GeneralSetting,Index,GET,{}
1095619,2020-01-28 09:19:27.710,7,Application,Index,GET,"{""onlyAutomaticInvites"":true}"
1095620,2020-01-28 09:19:27.743,7,AutomaticInviteSettings,Index,GET,{}
1095621,2020-01-28 09:19:27.760,7,AutomaticInviteSettings,CheckApplications,GET,{}
1095622,2020-01-28 09:19:27.760,7,AutomaticInviteSettings,CheckQuery,GET,{}
1095623,2020-01-28 09:19:27.870,7,Query,Get,GET,"{""onlySettableParams"":true}"
1095624,2020-01-28 09:19:30.133,7,Pathway,Index,GET,"{""lite"":true,""applicationID"":1}"
1095626,2020-01-28 09:28:24.863,7,Login,Logout,GET,{}
1095641,2020-01-28 09:29:00.503,7,Login,AuthCheck,GET,{}
1095642,2020-01-28 09:29:00.597,7,GeneralSetting,Index,GET,{}
1095643,2020-01-28 09:29:00.597,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095644,2020-01-28 09:29:00.613,7,Application,Index,GET,"{""onlyAutomaticInvites"":true}"
1095645,2020-01-28 09:29:00.597,7,Environment,Get,GET,{}
1095646,2020-01-28 09:29:00.833,7,AutomaticInviteSettings,Index,GET,{}
1095647,2020-01-28 09:29:00.833,7,AutomaticInviteSettings,CheckApplications,GET,{}
1095648,2020-01-28 09:29:00.847,7,AutomaticInviteSettings,CheckQuery,GET,{}
1095649,2020-01-28 09:29:00.893,7,Query,Get,GET,"{""onlySettableParams"":true}"
1095650,2020-01-28 09:29:02.380,7,Login,AuthCheck,GET,{}
1095651,2020-01-28 09:29:02.503,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095652,2020-01-28 09:29:03.190,7,Organization,Index,GET,{}
1095653,2020-01-28 09:29:03.190,7,Group,Index,GET,{}
1095654,2020-01-28 09:29:03.190,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095655,2020-01-28 09:29:03.237,7,User,Index,GET,{}
1095656,2020-01-28 09:29:03.237,7,Role,Index,GET,{}
1095657,2020-01-28 09:29:04.050,7,Right,Index,GET,"{""flat"":false}"
1095658,2020-01-28 09:29:04.130,7,Role,Index,GET,{}
1095659,2020-01-28 09:29:21.050,7,Role,Update,POST,"{""id"":9,""model"":{""Role"":{""ID"":9,""Name"":""Beheer Bergman (externe rol)""},""Rights"":[{""ID"":108,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":109,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":110,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":111,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":112,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":113,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":114,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":133,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":153,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":154,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":155,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
1095661,2020-01-28 09:29:24.940,7,Login,Logout,GET,{}
1095682,2020-01-28 09:29:47.990,7,Login,AuthCheck,GET,{}
1095683,2020-01-28 09:29:48.037,7,Login,AuthCheck,GET,{}
1095684,2020-01-28 09:29:48.113,7,Environment,Get,GET,{}
1095685,2020-01-28 09:29:48.113,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095686,2020-01-28 09:29:49.777,7,Login,AuthCheck,GET,{}
1095687,2020-01-28 09:29:49.833,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095688,2020-01-28 09:29:50.753,7,Login,AuthCheck,GET,{}
1095689,2020-01-28 09:29:50.957,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095690,2020-01-28 09:29:51.433,7,Organization,Index,GET,{}
1095691,2020-01-28 09:29:51.433,7,Group,Index,GET,{}
1095692,2020-01-28 09:29:51.457,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095693,2020-01-28 09:29:51.520,7,User,Index,GET,{}
1095694,2020-01-28 09:29:51.550,7,Role,Index,GET,{}
1095695,2020-01-28 09:29:52.550,7,Right,Index,GET,"{""flat"":false}"
1095696,2020-01-28 09:29:53.333,7,Role,Index,GET,{}
1095697,2020-01-28 09:29:58.770,7,Role,Update,POST,"{""id"":9,""model"":{""Role"":{""ID"":9,""Name"":""Beheer Bergman (externe rol)""},""Rights"":[{""ID"":108,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":109,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":110,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":111,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":112,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":113,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":114,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":133,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":153,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":154,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
1095698,2020-01-28 09:30:00.223,7,Login,Logout,GET,{}
1095713,2020-01-28 09:30:12.067,7,Login,AuthCheck,GET,{}
1095714,2020-01-28 09:30:12.147,7,Environment,Get,GET,{}
1095715,2020-01-28 09:30:12.177,7,GeneralSetting,Index,GET,{}
1095716,2020-01-28 09:30:12.177,7,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1095717,2020-01-28 09:30:12.287,7,AutomaticInviteSettings,CheckApplications,GET,{}
1095718,2020-01-28 09:30:12.287,7,AutomaticInviteSettings,Index,GET,{}
1095719,2020-01-28 09:30:12.300,7,AutomaticInviteSettings,CheckQuery,GET,{}
1095720,2020-01-28 09:30:12.317,7,Query,Get,GET,"{""onlySettableParams"":true}"
1095721,2020-01-28 09:30:12.160,7,Application,Index,GET,"{""onlyAutomaticInvites"":true}"
1095722,2020-01-28 09:30:14.160,7,Login,AuthCheck,GET,{}
1095723,2020-01-28 09:30:16.363,7,Login,AuthCheck,GET,{}
