ID,DateTime,UserID,Controller,Action,Method,ActionParameters
636825,2020-03-12 14:13:14.273,5,Login,AuthCheck,GET,{}
636826,2020-03-12 14:13:14.383,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636827,2020-03-12 14:13:26.467,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636828,2020-03-12 14:13:26.467,5,Group,Index,GET,{}
636829,2020-03-12 14:13:26.467,5,Organization,Index,GET,{}
636830,2020-03-12 14:13:26.530,5,User,Index,GET,{}
636831,2020-03-12 14:13:26.530,5,Role,Index,GET,{}
636832,2020-03-12 14:13:27.790,5,Right,Index,GET,"{""flat"":false}"
636833,2020-03-12 14:13:27.853,5,Role,Index,GET,{}
636834,2020-03-12 14:13:46.120,5,Role,Create,POST,"{""model"":{""Role"":{""ID"":7,""Name"":""LUMC Beheer Basistijdlijn""},""Rights"":[{""ID"":1,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":8,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
636837,2020-03-12 14:14:13.860,5,Organization,Index,GET,{}
636838,2020-03-12 14:14:13.860,5,Group,Index,GET,{}
636839,2020-03-12 14:14:13.923,5,User,Index,GET,{}
636840,2020-03-12 14:14:13.940,5,Role,Index,GET,{}
636841,2020-03-12 14:14:33.927,5,User,Create,POST,"{""model"":{""User"":{""ID"":21,""Username"":""Demi"",""FirstName"":null,""MiddleName"":null,""LastName"":null,""FullName"":""Demi"",""Active"":true,""FactorSlackUser"":null},""Roles"":[{""ID"":7,""Name"":null}],""Organizations"":null,""Groups"":null}}"
636847,2020-03-12 14:15:18.607,5,User,Update,POST,"{""id"":14,""model"":{""User"":{""ID"":14,""Username"":""test"",""FirstName"":null,""MiddleName"":null,""LastName"":null,""FullName"":""test"",""Active"":false,""FactorSlackUser"":null},""Roles"":[{""ID"":7,""Name"":null}],""Organizations"":[],""Groups"":[]}}"
636848,2020-03-12 14:15:22.983,5,Login,Logout,GET,{}
636853,2020-03-12 14:15:42.573,5,Login,AuthCheck,GET,{}
636854,2020-03-12 14:15:42.620,5,Login,AuthCheck,GET,{}
636855,2020-03-12 14:15:42.713,5,Environment,Get,GET,{}
636856,2020-03-12 14:15:42.713,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636857,2020-03-12 14:15:44.050,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636858,2020-03-12 14:15:44.050,5,Group,Index,GET,{}
636859,2020-03-12 14:15:44.050,5,Organization,Index,GET,{}
636860,2020-03-12 14:15:44.097,5,User,Index,GET,{}
636861,2020-03-12 14:15:44.113,5,Role,Index,GET,{}
636862,2020-03-12 14:15:51.300,5,User,Update,POST,"{""id"":14,""model"":{""User"":{""ID"":14,""Username"":""test"",""FirstName"":null,""MiddleName"":null,""LastName"":null,""FullName"":""test"",""Active"":true,""FactorSlackUser"":null},""Roles"":[{""ID"":7,""Name"":null}],""Organizations"":[],""Groups"":[]}}"
636863,2020-03-12 14:15:53.310,5,Login,Logout,GET,{}
636873,2020-03-12 14:16:14.280,5,Login,AuthCheck,GET,{}
636874,2020-03-12 14:16:14.747,5,Login,AuthCheck,GET,{}
636875,2020-03-12 14:16:14.827,5,Environment,Get,GET,{}
636876,2020-03-12 14:16:14.827,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636877,2020-03-12 14:16:20.850,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636878,2020-03-12 14:16:20.850,5,Application,Index,GET,"{""onlyAutomaticInvites"":null}"
636879,2020-03-12 14:16:20.850,5,Settings,GetVirtualAssistantSettings,GET,{}
636880,2020-03-12 14:16:20.867,5,Contentprofile,Index,GET,{}
636881,2020-03-12 14:16:20.867,5,Department,Index,GET,{}
636882,2020-03-12 14:16:20.880,5,Waypoint,Index,GET,"{""lite"":true,""basic"":null}"
636883,2020-03-12 14:16:20.927,5,Pathway,Index,GET,"{""lite"":null,""applicationID"":null}"
636884,2020-03-12 14:16:20.943,5,Settings,GetKTOSettings,GET,{}
636885,2020-03-12 14:16:22.517,5,Login,AuthCheck,GET,{}
636886,2020-03-12 14:16:22.890,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636887,2020-03-12 14:16:23.543,5,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
636888,2020-03-12 14:16:23.543,5,Organization,Index,GET,{}
636889,2020-03-12 14:16:23.563,5,Group,Index,GET,{}
636890,2020-03-12 14:16:23.620,5,User,Index,GET,{}
636891,2020-03-12 14:16:23.620,5,Role,Index,GET,{}
636892,2020-03-12 14:16:25.340,5,Right,Index,GET,"{""flat"":false}"
636893,2020-03-12 14:16:25.437,5,Role,Index,GET,{}
636894,2020-03-12 14:16:49.650,5,Role,Update,POST,"{""id"":7,""model"":{""Role"":{""ID"":7,""Name"":""LUMC Beheer Basistijdlijn""},""Rights"":[{""ID"":1,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":8,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":9,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":10,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":11,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":12,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":13,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":14,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":15,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":17,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
