ID,DateTime,UserID,Controller,Action,Method,ActionParameters
1630846,2020-04-16 10:09:03.087,14,Login,AuthCheck,GET,{}
1630847,2020-04-16 10:09:03.147,14,Login,AuthCheck,GET,{}
1630848,2020-04-16 10:09:03.540,14,Environment,Get,GET,{}
1630849,2020-04-16 10:09:03.570,14,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1630850,2020-04-16 10:09:05.493,14,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1630851,2020-04-16 10:09:05.523,14,Group,Index,GET,{}
1630852,2020-04-16 10:09:05.523,14,Organization,Index,GET,{}
1630853,2020-04-16 10:09:05.757,14,User,Index,GET,{}
1630854,2020-04-16 10:09:05.803,14,Role,Index,GET,{}
1630855,2020-04-16 10:09:14.493,14,Login,Token,GET,{}
1630856,2020-04-16 10:09:14.493,14,Login,AuthCheck,GET,{}
1630857,2020-04-16 10:09:14.850,14,Environment,Get,GET,{}
1630858,2020-04-16 10:09:14.867,14,Addon,IsEnabled,GET,"{""name"":""FolderReview""}"
1630859,2020-04-16 10:09:14.913,14,Role,Index,GET,{}
1630860,2020-04-16 10:09:14.867,14,Right,Index,GET,"{""flat"":false}"
1630861,2020-04-16 10:09:25.960,14,Role,Update,POST,"{""id"":4,""model"":{""Role"":{""ID"":4,""Name"":""MediMapp super-user""},""Rights"":[{""ID"":1,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":2,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":3,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":4,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":5,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":6,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":8,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":9,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":10,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":11,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":12,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":13,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":14,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":15,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":16,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":17,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":19,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":22,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":23,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":24,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":25,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":26,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":28,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":30,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":31,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":32,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":33,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":49,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":50,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":51,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":52,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":53,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":66,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":67,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":68,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":69,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null},{""ID"":70,""Name"":null,""DisplayName"":null,""ParentRightID"":null,""ChildRights"":null}]}}"
